Natuknica,Stranica,Tekst,Prilog,Vez
ABAK,3,"<strong>ABAK</strong> (grč. <em>ἄ&beta;&alpha;&xi;</em>, abaks, lat. i engl.<em> abacus</em>, franc.<em> abaque, </em>njem.<em> Deckplatte</em>, tal.<em> abaco</em>), kod ant. naroda, ploča stola, pa računalo s kuglicama, koje je u kiparstvu Srednjeg vijeka često simbolički atribut Aritmetike. U arhitekturi je a. ploča, većinom kvadratnog oblika, kojom se zavr&scaron;ava kapitel stupa; na njoj počiva arhitrav, odnosno krak luka. Bitni je sastavni dio grč. dorskog, jonskog i korintskog reda, te rim. kompozitne glavice. U različitim oblicima primjenjuje se i u romaničkom, bizant. i gotičkom stilu kao i u klasicističkim varijantama, izvedenim iz ant. uzora.",,1
ABAKUL,3,"<strong>ABAKUL</strong> (lat.<em> abaculus</em>), abak malih razmjera; javlja se kod dekorativnih stupića.",,1
ABAŽUR,3,"<strong>ABAŽUR</strong> (engl.<em> lamp-shade</em>, franc.<em> abat-jour</em>, njem.<em> Lampenschirm</em>, tal.<em> abbaino</em>), zaslon, sjenilo, koje se stavlja na svjetiljku radi ublaženja intenzivnosti izvora svjetlosti. Izrađuje se od porculana, kovine ili od žice prevučene providnim materijalom (papir, pergament, svila, tkanina, tanka koža i suvremeni sintetički produkti). Ima oblik kugle, polukugle, čunja, valjka, piramide, lampiona i sl. Često se izrađuje s intenzivnim fondom u određenoj boji (žuta, ružičasta), da bi se u prostoriji rasvjetom postigla stanovita atmosfera. Plohe abažura mogu biti ukra&scaron;ene vezivom i slikanim motivima (ornamentika, cvijeće); u Kini i u Japanu prekrivene su silhuetama izrađenima tu&scaron;em.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; S. Bić.",,1
"ABBATE, Niccolò dell’",3,"<strong>ABBATE (Dell&rsquo;Abate), Niccol</strong><strong>&ograve; dell&rsquo;,</strong> talijanski slikar (Modena, oko 1512 &mdash; Francuska, 1571). Najistaknutiji član obitelji slikara manirista, koja je djelovala u XVI i prvoj pol. XVII<em> st.</em> Učio kod svog oca Giovannia i kipara A. Begarellia; radio pod utjecajem Correggia. Prvotno slikar u Modeni i Bologni, 1552 prelazi u Francusku, gdje postaje glavni suradnik F. Primaticcia kod dekoriranja dvora Fontainebleau; ovaj dvor postaje jedno od žari&scaron;ta, iz kojega se po Francuskoj pro&scaron;irila umjetnost visoke renesanse. A. je radio portrete, slike s mitolo&scaron;kim i hist. temama, nacrte za tapiserije, ukrase u emajlu i za predmete umjetnog obrta, djelomice uz pomoć svog sina<em> Giulia dell&rsquo; Abbate.</em> Giuliov sin<em> Ercole dell&rsquo; A.,</em> koji je umro u Modeni 1613, radio je u tom gradu freske s mitolo&scaron;kim i slike sa sakralnim temama.",,1
"ABBATE CICCIO, L’",3,"<strong>ABBATE CICCIO, L&rsquo;</strong> v.<em> Solimena, Francesco</em>",,1
"ABBÉMA, Louise",3,"<strong>ABB&Eacute;MA, Louise,</strong> francuska slikarica i grafičarka (&Eacute;tampes, 30. X. 1858 &mdash; Pariz, 1927), učenica Ch. Chaplina, J.-J. Hennera i E.-A. Carolus-Durana. Pod utjecajem njihova dopadljivog akademskog načina radila portrete (Sarah Bernard, F. Lesseps, Ch. Garnier, J.-J. Henner), dekorativne slike i panoe za gradske vijećnice, teatre i javne ustanove. Bavila se akvarelom, pastelom i grafikom, surađivala u časopisima<em> Gazette des Beaux-Arts</em> i<em> L&rsquo;Art.</em>",,1
ABBEVILLE,3,"<strong>ABBEVILLE</strong> (<em>Abbatis Villa;</em><strong> Ville de l&rsquo;abb&eacute; de St. Riquier</strong>), grad na u&scaron;ću rijeke Somme u sjev. Francuskoj. U Srednjem vijeku važan trgovački i industrijski centar. Spominje se od IX<em> st.;</em> građanska prava stječe 1130. God. 1279&mdash;1345, te 1361&mdash;1435 pod engl. suverenitetom. U Drugome svjetskom ratu stradao od bombardiranja.<br /> Značajni spomenici:<em> Beffroi</em> iz XIII<em> st.;</em> crkva<em> St. Gilles </em>građena u stilu engl. gotike; katedrala<em> St. Vulfran</em> (XIV&mdash;XV<em> st.</em>), sa fasadom u flamboyantnom stilu (1488); muzej galsko-rimskih starina.",,1
"ABBEY, Edwin Austin",3,"<strong>ABBEY, Edwin Austin,</strong> američki slikar (Philadelphia, 1. IV. 1852 &mdash; London, 1911). Studira u rodnome gradu, postaje ilustrator njujor&scaron;kog časopisa<em> Harper&rsquo;s Magazine,</em> a od 1883 živi u Londonu. Ilustrira Shakespearea, slika prizore iz legenda, historije i suvremenih zbivanja<em> (Krunisanje Edwarda VII).</em> Radi u ulju, akvarelu, freski (dekoracije) i litografiji.",,1
"ABBIATI, Filippo",3,"<strong>ABBIATI, Filippo,</strong> talijanski slikar (Milano, 1640 &mdash; 1715). Radio oltarske slike u Torinu, Pavi-i i Bergamu, no njegova se najvrednija djela nalaze u Saronnu<em> (Propovijed sv. Ivana)</em> i u Milanu. Sa F. Bianchiem radi 1696 freske u milanskoj crkvi S. Alessandro (u kupoli:<em> Trijumf sv. Trojstva;</em> u koru: prizori iz života sv. Aleksandra). Te su scene rađene u &scaron;irokoj kompoziciji, koja najavljuje slobodu i razmah dekorativnog slikarstva XVIII<em> st.</em>",,1
"ABBONDI, Antonio di Pietro",3,"<strong>ABBONDI, Antonio di Pietro</strong> v.<em> Scarpagnino</em>",,1
"ABBONDIO, Antonio",3,"<strong>ABBONDIO, Antonio</strong> v.<em> Abondio, Antonio</em>",,1
"ABBOT, Lemuel Francis",3,"<strong>ABBOT, Lemuel Francis,</strong> engleski slikar (pokrajina Leicestershire, 1760 &mdash; London, 1803). Učenik F. Haymana, portretist, solidan crtač (portreti admirala Nelsona). Njegovi portreti engl. umjetnika, liječnika i admirala grafički su reproducirani.",,1
ABDERA,3,"<strong>ABDERA</strong> (grč. <em>Ἄ&beta;&delta;&eta;&rho;&alpha;</em>), <strong>1.</strong> starogrč. grad u Trakiji, rodno mjesto Protagore. Kovao je svoj novac od &larr; V<em> st.</em> pa do otprilike &larr; 350, kad je potpao pod vlast Filipa II Makedonskog.<br /> <strong>2.</strong> Dana&scaron;nja Adra u &scaron;panj. pokrajini Almer&iacute;-i. Taj su grad osnovali Feničani kao svoju koloniju. U Adri su pronađeni arheol. ostaci iz doba karta&scaron;ke, rim. i arap. vladavine.",,1
ABECEDA,3,<strong>ABECEDA</strong> v.<em> Pismo</em>,,1
"ABEL, Bernhard i Arnold",3,"<strong>ABEL, 1.&mdash;2. Bernhard i Arnold,</strong> njemački kipari iz K&ouml;lna (prvi umro 1563, a drugi 1564). Spominju se u vezi s grobnicom cara Maksimilijana I u Dvorskoj crkvi u Innsbrucku, za koju su trebali izvesti 24 mramorna reljefa s prizorima iz careva života, po nacrtima svoga brata slikara<em> Floriana Abela.</em> Na račun tog posla putovali su po Italiji i Holandiji, odakle su doveli kipara A. Colina, koji je izradio tri reljefa za spomenutu grobnicu.<br /> <strong>3. Florian,</strong> njemački slikar iz K&ouml;lna. Od 1560 djeluje u Pragu, gdje je umro oko 1565. God. 1561 izradio nacrte za 24 mramorna reljefa za nadgrobni spomenik Maksimilijana I u Dvorskoj crkvi u Innsbrucku. Izradbu reljefa preuzela su njegova braća<em> Bernhard</em> i<em> Arnold A.,</em> ali ih nisu dovr&scaron;ili.",,1
"ABEL, Florian",3,"<strong>ABEL, 1.&mdash;2. Bernhard i Arnold,</strong> njemački kipari iz K&ouml;lna (prvi umro 1563, a drugi 1564). Spominju se u vezi s grobnicom cara Maksimilijana I u Dvorskoj crkvi u Innsbrucku, za koju su trebali izvesti 24 mramorna reljefa s prizorima iz careva života, po nacrtima svoga brata slikara<em> Floriana Abela.</em> Na račun tog posla putovali su po Italiji i Holandiji, odakle su doveli kipara A. Colina, koji je izradio tri reljefa za spomenutu grobnicu.<br /> <strong>3. Florian,</strong> njemački slikar iz K&ouml;lna. Od 1560 djeluje u Pragu, gdje je umro oko 1565. God. 1561 izradio nacrte za 24 mramorna reljefa za nadgrobni spomenik Maksimilijana I u Dvorskoj crkvi u Innsbrucku. Izradbu reljefa preuzela su njegova braća<em> Bernhard</em> i<em> Arnold A.,</em> ali ih nisu dovr&scaron;ili.",,1
"ABEL DE PUJOL, Alexandre-Denis",3,"<strong>ABEL DE PUJOL, Alexandre-Denis </strong><em>v. Pujol, Alexandre-Denis</em>",,1
ABESINIJA,3,<strong>ABESINIJA </strong><em>v.</em> Etiopija,,1
"ABILDGAARD, Nicolai Abraham",3,"<strong>ABILDGAARD, Nicolai Abraham,</strong> danski slikar (K&oslash;benhavn, IV. 1743 &mdash; kraj Frederiksdala, 4. VI. 1809). Svr&scaron;iv&scaron;i akademiju u K&oslash;benhavnu proputovao Italiju studirajući antiku i kopirajući slikare visoke renesanse. Kao prof. k&oslash;benhavnske umjetničke akademije (od 1778) propagirao eklektički klasicizam, izvr&scaron;iv&scaron;i znatan utjecaj na svog učenika B. Thorvaldsena. Njegovo glavno djelo, hist. i alegorijske kompozicije u kralj. dvoru Christiansborgu, stradalo je od požara.",,1
ABOCIRANJE,3,"<strong>ABOCIRANJE</strong> (tal.<em> abbozzare</em>, od<em> abbozzo</em>), skiciranje. U slikarstvu abocirati znači nabaciti crtež u glavnim potezima kao osnovu za sliku; u skulpturi, modelirati u glini glavne oblike, po kojima će se djelo izvesti definitivno.<em> Abociran,</em> skiciran.",,1
ABOLLA,3,"<strong>ABOLLA</strong> (lat.<em> ogrtač</em>), antički ogrtač bez rukava, upotrebljavao se za za&scaron;titu od nevremena. Njim su se obično služili vojnici. Podrijetlo vuče, čini se, iz starijeg željeznog doba.",,1
"ABONDIO, Alessandro",3,"<strong>ABONDIO, 1. Alessandro,</strong> talijanski kipar i medaljer (oko 1580 &mdash; Prag, 1675), sin Antonia Abondia ml. Radi u Beču, od 1602 na dvoru u Pragu, gdje postaje 1606 dvorski kipar Rudolfa II, 1625&mdash;30 ponovo u Beču, a 1632&mdash;45 u službi bavarskog izbornog kneza Maksimilijana u M&uuml;nchenu (portreti i medalje). Iz tog razdoblja potječe i<em> Piet&agrave;</em> od obojena voska, izrađena 1640 po slici Quentina Matsysa. Kao medaljer, koji je prikazao niz austr. i bavar. vladara, povodi se dijelom za ocem, a dijelom za stilom holand. medaljera. Bio je izvanredno vje&scaron;t u keroplastici (modeliranje u vosku).<em><br /> </em><strong>2. Antonio, ml.,</strong> talijanski kipar i medaljer (Milano, 1538 &mdash; Beč, 22. V. 1591). Sin lombardijskog kipara istog imena; 1563&mdash;87 u službi dvora u Beču, Pragu i M&uuml;nchenu. Radio medalje s portretnim likovima austr. i bavarskih vladara i građana, te s alegorijskim i sakralnim temama. Njegove su brončane medalje karakteristične po otmjenoj jednostavnosti i slikovitosti modelacije. Izvodio i kolorirane medalje u vosku; ova se tehnika naročito pro&scaron;irila u Njemačkoj. A. se u pojedinim spisima spominje kao dvorski slikar; to se može odnositi na njegove kolorirane vo&scaron;tane medalje, jer atribucije nekih portreta, navodno njegovih, nisu dokazane. Abondiov portret u bakrorezu izradio 1574 hrv. grafičar Martin Kolunić Rota.",,1
"ABONDIO, Antonio, ml.",4,"<strong>ABONDIO, 1. Alessandro,</strong> talijanski kipar i medaljer (oko 1580 &mdash; Prag, 1675), sin Antonia Abondia ml. Radi u Beču, od 1602 na dvoru u Pragu, gdje postaje 1606 dvorski kipar Rudolfa II, 1625&mdash;30 ponovo u Beču, a 1632&mdash;45 u službi bavarskog izbornog kneza Maksimilijana u M&uuml;nchenu (portreti i medalje). Iz tog razdoblja potječe i<em> Piet&agrave;</em> od obojena voska, izrađena 1640 po slici Quentina Matsysa. Kao medaljer, koji je prikazao niz austr. i bavar. vladara, povodi se dijelom za ocem, a dijelom za stilom holand. medaljera. Bio je izvanredno vje&scaron;t u keroplastici (modeliranje u vosku).<em><br /> </em><strong>2. Antonio, ml.,</strong> talijanski kipar i medaljer (Milano, 1538 &mdash; Beč, 22. V. 1591). Sin lombardijskog kipara istog imena; 1563&mdash;87 u službi dvora u Beču, Pragu i M&uuml;nchenu. Radio medalje s portretnim likovima austr. i bavarskih vladara i građana, te s alegorijskim i sakralnim temama. Njegove su brončane medalje karakteristične po otmjenoj jednostavnosti i slikovitosti modelacije. Izvodio i kolorirane medalje u vosku; ova se tehnika naročito pro&scaron;irila u Njemačkoj. A. se u pojedinim spisima spominje kao dvorski slikar; to se može odnositi na njegove kolorirane vo&scaron;tane medalje, jer atribucije nekih portreta, navodno njegovih, nisu dokazane. Abondiov portret u bakrorezu izradio 1574 hrv. grafičar Martin Kolunić Rota.",,1
ABOZZO,4,<strong>ABOZZO</strong> v.<em> Abociranje</em>,,1
ABRAKSAS,4,"<strong>ABRAKSAS</strong> (lat.<em> abraxas</em>), božanstvo sekte gnostika, koja je u svome spekulativnom sistemu povezivala pradavne istočnjačke mitove s kr&scaron;ćanskim naučanjem; vrhunac u razvoju dostiže gnosticizam oko pol. II<em> st.</em> A., kao najvi&scaron;e biće i moralni autoritet, vladar je iznad 365 eona, njemu podložnih emanacija božanstva. Riječ a. javlja se u antiki i Srednjem vijeku na gemama, koje su služile kao talismani protiv nesreće, uroka i smrti. Na geme su se urezivali likovi tajanstvenih božanstava, monstruozne prikaze s pijetlovom glavom, poluljudskim trupom i zmijolikim nogama, uokvirene magijskim anagramima, koji uvijek sadržavaju ime gnostičkog božanstva Abraksas. Ovakve geme i pečatnjaci od dragulja ili poludragulja izrađivali su se osobito u Siriji i Egiptu.<br /> LIT.:<em> A. Dieterich,</em> Abraxas, 1891. &mdash;<em> J. Trachtenberg,</em> Jewish Magic and Superstition, New York 1939. &mdash;<em> M. &Scaron;eper,</em> Antikne gemeamuleti nazvane gnostičkim gemama, VjHAD, 1942&mdash;43. S. Bić.",,1
